
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0      5,376 K
Registry                       140 Services                   0     38,200 K
smss.exe                       592 Services                   0        480 K
csrss.exe                      848 Services                   0      2,200 K
wininit.exe                    944 Services                   0      4,288 K
services.exe                  1016 Services                   0      7,612 K
lsass.exe                      836 Services                   0     21,288 K
svchost.exe                   1136 Services                   0     56,964 K
fontdrvhost.exe               1164 Services                   0        900 K
svchost.exe                   1268 Services                   0     24,476 K
svchost.exe                   1320 Services                   0      6,172 K
svchost.exe                   1472 Services                   0      5,984 K
svchost.exe                   1524 Services                   0      7,020 K
svchost.exe                   1532 Services                   0      9,264 K
svchost.exe                   1580 Services                   0      6,732 K
svchost.exe                   1588 Services                   0      6,128 K
svchost.exe                   1596 Services                   0      4,968 K
svchost.exe                   1796 Services                   0      2,440 K
IntelCpHDCPSvc.exe            1804 Services                   0      4,372 K
svchost.exe                   1816 Services                   0      9,088 K
svchost.exe                   1856 Services                   0      5,260 K
svchost.exe                   1908 Services                   0     15,360 K
svchost.exe                   1916 Services                   0      1,928 K
svchost.exe                   1936 Services                   0      3,996 K
IntelCpHeciSvc.exe            2056 Services                   0      3,304 K
svchost.exe                   2100 Services                   0      3,264 K
svchost.exe                   2112 Services                   0      4,596 K
svchost.exe                   2160 Services                   0      4,392 K
svchost.exe                   2372 Services                   0      6,260 K
svchost.exe                   2396 Services                   0     11,068 K
svchost.exe                   2404 Services                   0      2,796 K
igfxCUIService.exe            2420 Services                   0      3,332 K
svchost.exe                   2816 Services                   0     19,572 K
TouchpointAnalyticsClient     2996 Services                   0     24,216 K
svchost.exe                   3004 Services                   0     11,472 K
svchost.exe                   3096 Services                   0     24,284 K
unsecapp.exe                  3332 Services                   0      5,132 K
WmiPrvSE.exe                  3428 Services                   0     10,188 K
SynTPEnhService.exe           3520 Services                   0      3,212 K
svchost.exe                   3576 Services                   0     11,008 K
svchost.exe                   3616 Services                   0      7,332 K
svchost.exe                   3624 Services                   0      1,512 K
svchost.exe                   3636 Services                   0      4,988 K
WUDFHost.exe                  3720 Services                   0      2,476 K
svchost.exe                   3736 Services                   0      4,956 K
svchost.exe                   3756 Services                   0      4,116 K
Memory Compression            3788 Services                   0    242,164 K
WUDFHost.exe                  4024 Services                   0      5,960 K
svchost.exe                   2284 Services                   0     12,604 K
svchost.exe                   2928 Services                   0      3,604 K
svchost.exe                   3608 Services                   0      9,012 K
svchost.exe                   4100 Services                   0      5,056 K
svchost.exe                   4180 Services                   0     15,724 K
svchost.exe                   4340 Services                   0      8,784 K
wlanext.exe                   4536 Services                   0      7,128 K
spoolsv.exe                   4544 Services                   0      6,576 K
conhost.exe                   4564 Services                   0      1,476 K
svchost.exe                   4632 Services                   0      4,688 K
svchost.exe                   4672 Services                   0     13,000 K
svchost.exe                   4800 Services                   0      2,760 K
svchost.exe                   5020 Services                   0      5,344 K
AppleMobileDeviceService.     5072 Services                   0      3,484 K
svchost.exe                   5080 Services                   0     27,596 K
svchost.exe                   5088 Services                   0     49,048 K
mDNSResponder.exe             5096 Services                   0      4,096 K
svchost.exe                   5104 Services                   0      7,804 K
EvtEng.exe                    4568 Services                   0      7,580 K
HPPrintScanDoctorService.     4852 Services                   0      6,468 K
iaStorAfsService.exe          5128 Services                   0      9,008 K
FoxitPDFReaderUpdateServi     5160 Services                   0      4,208 K
ibtsiva.exe                   5196 Services                   0      1,928 K
esif_uf.exe                   5212 Services                   0      3,248 K
OneApp.IGCC.WinService.ex     5220 Services                   0      6,460 K
svchost.exe                   5280 Services                   0      6,308 K
IntelAudioService.exe         5288 Services                   0      9,908 K
LMS.exe                       5468 Services                   0      2,860 K
svchost.exe                   5520 Services                   0      1,344 K
RegSrvc.exe                   5544 Services                   0      3,460 K
RstMwService.exe              5552 Services                   0      1,536 K
RtkAudUService64.exe          5568 Services                   0      5,596 K
SECOMN64.exe                  5576 Services                   0      1,912 K
WBFResetService111.exe        5584 Services                   0        568 K
svchost.exe                   5600 Services                   0      3,788 K
