
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0      5,352 K
Registry                       140 Services                   0     64,212 K
smss.exe                       592 Services                   0        468 K
csrss.exe                      848 Services                   0      2,552 K
wininit.exe                    944 Services                   0      4,696 K
services.exe                  1016 Services                   0      8,224 K
lsass.exe                      836 Services                   0     21,668 K
svchost.exe                   1136 Services                   0     58,912 K
fontdrvhost.exe               1164 Services                   0        900 K
svchost.exe                   1268 Services                   0     26,316 K
svchost.exe                   1320 Services                   0      6,328 K
svchost.exe                   1472 Services                   0      8,048 K
svchost.exe                   1524 Services                   0      7,880 K
svchost.exe                   1532 Services                   0     10,924 K
svchost.exe                   1580 Services                   0      7,132 K
svchost.exe                   1588 Services                   0      6,380 K
svchost.exe                   1596 Services                   0      5,144 K
svchost.exe                   1796 Services                   0      3,136 K
IntelCpHDCPSvc.exe            1804 Services                   0      4,800 K
svchost.exe                   1816 Services                   0     11,248 K
svchost.exe                   1856 Services                   0      5,524 K
svchost.exe                   1908 Services                   0     18,228 K
svchost.exe                   1916 Services                   0      2,056 K
svchost.exe                   1936 Services                   0      4,716 K
IntelCpHeciSvc.exe            2056 Services                   0      3,808 K
svchost.exe                   2100 Services                   0      3,340 K
svchost.exe                   2112 Services                   0      5,256 K
svchost.exe                   2160 Services                   0      4,492 K
svchost.exe                   2372 Services                   0      6,984 K
svchost.exe                   2396 Services                   0     11,392 K
svchost.exe                   2404 Services                   0      3,024 K
igfxCUIService.exe            2420 Services                   0      3,852 K
svchost.exe                   2816 Services                   0     20,712 K
TouchpointAnalyticsClient     2996 Services                   0     19,232 K
svchost.exe                   3004 Services                   0     11,020 K
svchost.exe                   3096 Services                   0     27,580 K
unsecapp.exe                  3332 Services                   0      5,168 K
WmiPrvSE.exe                  3428 Services                   0     10,976 K
SynTPEnhService.exe           3520 Services                   0      3,652 K
svchost.exe                   3576 Services                   0     14,240 K
svchost.exe                   3616 Services                   0      7,396 K
svchost.exe                   3624 Services                   0      1,524 K
svchost.exe                   3636 Services                   0      5,684 K
WUDFHost.exe                  3720 Services                   0      3,124 K
svchost.exe                   3736 Services                   0      5,376 K
svchost.exe                   3756 Services                   0      4,264 K
Memory Compression            3788 Services                   0    209,668 K
WUDFHost.exe                  4024 Services                   0      6,468 K
svchost.exe                   2284 Services                   0     13,212 K
svchost.exe                   2928 Services                   0      3,716 K
svchost.exe                   3608 Services                   0      9,688 K
svchost.exe                   4100 Services                   0      5,204 K
svchost.exe                   4180 Services                   0     17,832 K
svchost.exe                   4340 Services                   0      9,136 K
wlanext.exe                   4536 Services                   0      8,044 K
spoolsv.exe                   4544 Services                   0      8,360 K
conhost.exe                   4564 Services                   0      1,716 K
svchost.exe                   4632 Services                   0      5,192 K
svchost.exe                   4672 Services                   0     21,052 K
svchost.exe                   4800 Services                   0      2,772 K
svchost.exe                   5020 Services                   0      5,608 K
AppleMobileDeviceService.     5072 Services                   0      3,908 K
svchost.exe                   5080 Services                   0     28,328 K
svchost.exe                   5088 Services                   0     36,104 K
mDNSResponder.exe             5096 Services                   0      4,264 K
svchost.exe                   5104 Services                   0      8,600 K
EvtEng.exe                    4568 Services                   0      8,564 K
HPPrintScanDoctorService.     4852 Services                   0      9,052 K
iaStorAfsService.exe          5128 Services                   0      8,628 K
FoxitPDFReaderUpdateServi     5160 Services                   0      4,396 K
ibtsiva.exe                   5196 Services                   0      2,544 K
esif_uf.exe                   5212 Services                   0      3,144 K
OneApp.IGCC.WinService.ex     5220 Services                   0      6,652 K
svchost.exe                   5280 Services                   0      7,024 K
IntelAudioService.exe         5288 Services                   0     10,312 K
LMS.exe                       5468 Services                   0      3,296 K
svchost.exe                   5520 Services                   0      1,352 K
RegSrvc.exe                   5544 Services                   0      4,268 K
RstMwService.exe              5552 Services                   0      1,600 K
RtkAudUService64.exe          5568 Services                   0      5,752 K
SECOMN64.exe                  5576 Services                   0      1,936 K
WBFResetService111.exe        5584 Services                   0        568 K
svchost.exe                   5600 Services                   0      3,908 K
