
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0      1,676 K
Registry                       140 Services                   0     16,728 K
smss.exe                       592 Services                   0        384 K
csrss.exe                      848 Services                   0      2,124 K
wininit.exe                    944 Services                   0      4,288 K
services.exe                  1016 Services                   0      7,432 K
lsass.exe                      836 Services                   0     18,788 K
svchost.exe                   1136 Services                   0     49,436 K
fontdrvhost.exe               1164 Services                   0        808 K
svchost.exe                   1268 Services                   0     20,416 K
svchost.exe                   1320 Services                   0      6,228 K
svchost.exe                   1472 Services                   0      5,168 K
svchost.exe                   1524 Services                   0      6,744 K
svchost.exe                   1532 Services                   0      7,160 K
svchost.exe                   1580 Services                   0      5,936 K
svchost.exe                   1588 Services                   0      5,860 K
svchost.exe                   1596 Services                   0      4,552 K
svchost.exe                   1796 Services                   0      2,120 K
IntelCpHDCPSvc.exe            1804 Services                   0      4,372 K
svchost.exe                   1816 Services                   0      8,516 K
svchost.exe                   1856 Services                   0      5,184 K
svchost.exe                   1908 Services                   0     14,828 K
svchost.exe                   1916 Services                   0      1,700 K
svchost.exe                   1936 Services                   0      3,712 K
IntelCpHeciSvc.exe            2056 Services                   0      3,304 K
svchost.exe                   2100 Services                   0      3,040 K
svchost.exe                   2112 Services                   0      4,516 K
svchost.exe                   2160 Services                   0      4,264 K
svchost.exe                   2372 Services                   0      6,080 K
svchost.exe                   2396 Services                   0     10,540 K
svchost.exe                   2404 Services                   0      2,528 K
igfxCUIService.exe            2420 Services                   0      3,332 K
svchost.exe                   2816 Services                   0     19,032 K
TouchpointAnalyticsClient     2996 Services                   0     17,500 K
svchost.exe                   3004 Services                   0      8,328 K
svchost.exe                   3096 Services                   0     12,012 K
unsecapp.exe                  3332 Services                   0      4,852 K
WmiPrvSE.exe                  3428 Services                   0      9,888 K
SynTPEnhService.exe           3520 Services                   0      3,212 K
svchost.exe                   3576 Services                   0      5,396 K
svchost.exe                   3616 Services                   0      5,336 K
svchost.exe                   3624 Services                   0      1,476 K
svchost.exe                   3636 Services                   0      4,748 K
WUDFHost.exe                  3720 Services                   0      2,476 K
svchost.exe                   3736 Services                   0      4,596 K
svchost.exe                   3756 Services                   0      3,660 K
Memory Compression            3788 Services                   0     31,780 K
WUDFHost.exe                  4024 Services                   0      4,160 K
svchost.exe                   2284 Services                   0     11,016 K
svchost.exe                   2928 Services                   0      3,216 K
svchost.exe                   3608 Services                   0      8,724 K
svchost.exe                   4100 Services                   0      4,264 K
svchost.exe                   4180 Services                   0     15,504 K
svchost.exe                   4340 Services                   0      8,488 K
wlanext.exe                   4536 Services                   0      6,976 K
spoolsv.exe                   4544 Services                   0      6,576 K
conhost.exe                   4564 Services                   0      1,476 K
svchost.exe                   4632 Services                   0      4,320 K
svchost.exe                   4672 Services                   0     11,460 K
svchost.exe                   4800 Services                   0      2,476 K
svchost.exe                   5020 Services                   0      5,032 K
AppleMobileDeviceService.     5072 Services                   0      3,444 K
svchost.exe                   5080 Services                   0     16,616 K
svchost.exe                   5088 Services                   0     31,720 K
mDNSResponder.exe             5096 Services                   0      4,100 K
svchost.exe                   5104 Services                   0      7,004 K
EvtEng.exe                    4568 Services                   0      7,412 K
HPPrintScanDoctorService.     4852 Services                   0      6,168 K
iaStorAfsService.exe          5128 Services                   0      7,256 K
FoxitPDFReaderUpdateServi     5160 Services                   0      4,208 K
ibtsiva.exe                   5196 Services                   0      1,928 K
esif_uf.exe                   5212 Services                   0      3,240 K
OneApp.IGCC.WinService.ex     5220 Services                   0      7,504 K
svchost.exe                   5280 Services                   0      6,020 K
IntelAudioService.exe         5288 Services                   0      9,092 K
LMS.exe                       5468 Services                   0      2,860 K
svchost.exe                   5520 Services                   0      1,164 K
RegSrvc.exe                   5544 Services                   0      3,460 K
RstMwService.exe              5552 Services                   0      1,536 K
RtkAudUService64.exe          5568 Services                   0      4,904 K
SECOMN64.exe                  5576 Services                   0      1,560 K
WBFResetService111.exe        5584 Services                   0        552 K
svchost.exe                   5600 Services                   0      3,468 K
